part_index,part_name,measure_number,abs_measure_index,staff,voice,beat,beat_pos,offset_ql_in_measure,start_ql,duration_ql,pitch_name,midi,global_beat
0,Score,22,21,2,,2,0.000,1.000,64.000,2.000,A3,57,50
0,Score,22,21,2,,2,0.000,1.000,64.000,2.000,C4,60,50
0,Score,22,21,2,,2,0.000,1.000,64.000,2.000,E4,64,50
0,Score,22,21,1,,3,0.000,2.000,65.000,1.000,C5,72,51
0,Score,23,22,1,,1,0.000,0.000,66.000,1.000,E5,76,52
0,Score,23,22,2,,1,0.000,0.000,66.000,3.000,D2,38,52
0,Score,23,22,1,,2,0.000,1.000,67.000,1.000,D5,74,53
0,Score,23,22,2,,2,0.000,1.000,67.000,2.000,G3,55,53
0,Score,23,22,2,,2,0.000,1.000,67.000,2.000,B3,59,53
0,Score,23,22,2,,2,0.000,1.000,67.000,2.000,E4,64,53
0,Score,23,22,1,,3,0.000,2.000,68.000,1.000,B4,71,54
0,Score,24,23,1,,1,0.000,0.000,69.000,1.000,D5,74,55
0,Score,24,23,2,,1,0.000,0.000,69.000,3.000,D2,38,55
0,Score,24,23,1,,2,0.000,1.000,70.000,1.000,C5,72,56
0,Score,24,23,2,,2,0.000,1.000,70.000,2.000,D3,50,56
0,Score,24,23,2,,2,0.000,1.000,70.000,2.000,G3,55,56
0,Score,24,23,2,,2,0.000,1.000,70.000,2.000,B3,59,56
0,Score,24,23,2,,2,0.000,1.000,70.000,2.000,E4,64,56
0,Score,24,23,1,,3,0.000,2.000,71.000,1.000,B4,71,57
0,Score,25,24,1,,1,0.000,0.000,72.000,3.000,D5,74,58
0,Score,25,24,2,,1,0.000,0.000,72.000,3.000,D2,38,58
0,Score,25,24,2,,1,0.333,1.000,73.000,2.000,C3,48,59
0,Score,25,24,2,,1,0.333,1.000,73.000,2.000,E3,52,59
0,Score,25,24,2,,1,0.333,1.000,73.000,2.000,A3,57,59
0,Score,25,24,2,,1,0.333,1.000,73.000,2.000,D4,62,59
0,Score,26,25,1,,1,0.000,0.000,75.000,2.000,D5,74,60
0,Score,26,25,2,,1,0.000,0.000,75.000,3.000,D2,38,60
0,Score,26,25,2,,1,0.667,1.000,76.000,2.000,C3,48,61
